"Conference Code","Name","Subdivision"
821,"Atlantic Coast Conference","FBS"
25354,"Big 12 Conference","FBS"
823,"Big East Conference","FBS"
827,"Big Ten Conference","FBS"
24312,"Conference USA","FBS"
99001,"Independent","FBS"
875,"Mid-American Conference","FBS"
5486,"Mountain West Conference","FBS"
905,"Pacific-10 Conference","FBS"
911,"Southeastern Conference","FBS"
818,"Sun Belt Conference","FBS"
923,"Western Athletic Conference","FBS"
820,"Atlantic 10","FCS"
825,"Big Sky","FCS"
826,"Big South","FCS"
853,"Gateway Football Conference","FCS"
99005,"Ind","FCS"
865,"Ivy","FCS"
871,"Metro Atlantic","FCS"
876,"Mid-Eastern","FCS"
846,"Northeast","FCS"
902,"Ohio Valley","FCS"
838,"Patriot","FCS"
21451,"Pioneer Football League","FCS"
912,"Southern","FCS"
914,"Southland","FCS"
916,"Southwestern","FCS"
